Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2021 - December 31  2021
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Capacity","Stream Type","Reason","Fullness Level at Collection","Collection Time","Note"
"1526502","514 Park Dr","Smart Max","Waste","Not Ready","20%","01/01/2021 06:31","-"
"1526463","718 Comm Ave","Smart Max","Waste","Fullness","80%","01/01/2021 06:34","-"
"1526479","580 Comm Ave Street","Smart Max","Waste","Not Ready","20%","01/01/2021 06:42","-"
"1526478","595 Comm Ave @ Silber Way","Smart Max","Waste","Fullness","80%","01/01/2021 06:45","-"
"1517448","610 Beacon St","Smart Max","Waste","Not Ready","20%","01/01/2021 06:47","-"
"1526476","91 Bay State Rd","Smart Max","Waste","Not Ready","20%","01/01/2021 06:54","-"
"1526477","100 Bay State Rd @ Bay State Road Entrance","Smart Max","Waste","Not Ready","20%","01/01/2021 06:57","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Fullness","60%","01/01/2021 07:01","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Not Ready","40%","01/01/2021 07:07","-"
"1526468","Babcock St & Ashford St - Pedestrian Garage Entrance","Smart Max","Waste","Fullness","100%","01/01/2021 07:11","-"
"1526392","617 Comm Ave","Smart Max","Waste","Not Ready","0%","01/01/2021 07:25","-"
"1526864","775 Commonwealth Ave @ University Road","Smart Max","Waste","Fullness","100%","01/01/2021 07:35","-"
"1526462","745 Comm Ave","Smart Max","Waste","Not Ready","0%","01/01/2021 13:41","-"
"1526479","580 Comm Ave Street","Smart","Single Stream","Fullness","80%","01/01/2021 19:59","-"
"1526463","718 Comm Ave","Smart Max","Waste","Not Ready","20%","01/02/2021 06:55","-"
"1526520","Agganis Arena Garage P2 West (Weak/No Signal-Frequent SNC)","Smart Max","Waste","Not Ready","0%","01/03/2021 19:59","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Not Ready","0%","01/04/2021 08:24","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","20%","01/04/2021 09:08","-"
"1526499","278 Babcock St @ Gardner - New Balance Field Main Entrance","Smart Max","Waste","Not Ready","20%","01/04/2021 09:49","-"
"1526386","Agganis Arena Garage P2 East (Weak/No Signal-Frequent SNC)","Smart Max","Waste","Not Ready","0%","01/04/2021 14:56","-"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart","Single Stream","Fullness","100%","01/05/2021 08:23","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart","Single Stream","Not Ready","40%","01/05/2021 08:30","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart","Single Stream","Fullness","100%","01/05/2021 08:31","-"
"1526483","34 Buswell St","Smart Max","Waste","Fullness","80%","01/05/2021 09:50","-"
"1526464","509 Park Dr @ Buswell","Smart Max","Waste","Fullness","60%","01/05/2021 09:53","-"
"1526474","BU boathouse 619 Memorial Drive","Smart","Single Stream","Fullness","80%","01/06/2021 03:41","-"
"1526502","514 Park Dr","Smart","Single Stream","Fullness","100%","01/06/2021 03:46","-"
"1526483","34 Buswell St","Smart","Single Stream","Fullness","100%","01/06/2021 03:46","-"
"1526383","700 Comm Ave Subway","Smart","Single Stream","Not Ready","60%","01/06/2021 03:51","-"
"1526454","728 Comm Ave","Smart","Single Stream","Fullness","100%","01/06/2021 03:52","-"
"1526463","718 Comm Ave","Smart","Single Stream","Fullness","100%","01/06/2021 03:52","-"
"1526458","44 Cummington Mall","Smart","Single Stream","Fullness","100%","01/06/2021 03:52","-"
"1526389","700 Comm Ave Citizens Bank","Smart","Single Stream","Fullness","80%","01/06/2021 03:55","-"
"1526379","700 Comm Ave Starbucks","Smart","Single Stream","Fullness","100%","01/06/2021 03:55","-"
"1526459","610 Comm Ave","Smart","Single Stream","Fullness","80%","01/06/2021 03:57","-"
"1526400","111 Cummington Mall","Smart","Single Stream","Not Ready","60%","01/06/2021 03:58","-"
"1526489","590 Comm Ave Front Entrance TOTALLED","Smart","Single Stream","Not Ready","20%","01/06/2021 04:01","-"
"1526388","590 Comm Ave. Courtyard","Smart","Single Stream","Not Ready","40%","01/06/2021 04:01","-"
"1526479","580 Comm Ave Street","Smart","Single Stream","Fullness","80%","01/06/2021 04:02","-"
"1517448","610 Beacon St","Smart","Single Stream","Fullness","80%","01/06/2021 04:04","-"
"1526397","575 Comm Ave","Smart","Single Stream","Not Ready","20%","01/06/2021 04:12","-"
"1526391","595 Comm ave Right Entrance","Smart","Single Stream","Not Ready","60%","01/06/2021 04:13","-"
"1526401","549 Comm Ave @ Deerfield","Smart","Single Stream","Not Ready","40%","01/06/2021 04:14","-"
"1526480","595 Comm Ave Entrance Left Side","Smart","Single Stream","Not Ready","20%","01/06/2021 04:14","-"
"1526478","595 Comm Ave @ Silber Way","Smart","Single Stream","Not Ready","40%","01/06/2021 04:15","-"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Smart","Single Stream","Fullness","100%","01/06/2021 04:18","-"
"1526394","140  Bay State Rd","Smart","Single Stream","Not Ready","60%","01/06/2021 04:21","-"
"1526477","100 Bay State Rd @ Bay State Road Entrance","Smart","Single Stream","Fullness","100%","01/06/2021 04:22","-"
"1526500","226 Bay State Rd","Smart","Single Stream","Fullness","100%","01/06/2021 04:23","-"
"1526456","DESTRYED BY FIRE 214 Bay State Road @ Granby St","Smart","Single Stream","Fullness","100%","01/06/2021 04:24","-"
"1526461","745 Comm Ave (Behind Building)","Smart","Single Stream","Fullness","80%","01/06/2021 04:27","-"
"1526488","765 Comm Ave - Behind Law School Auditorium (Access from BSR)","Smart","Single Stream","Not Ready","60%","01/06/2021 04:30","-"
"1526487","270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128","Smart","Single Stream","Not Ready","60%","01/06/2021 04:31","-"
"1526484","266 Bay State Rd-courtyard Behind 725 Comm","Smart","Single Stream","Not Ready","40%","01/06/2021 04:37","-"
"1526484","266 Bay State Rd-courtyard Behind 725 Comm","Smart Max","Waste","Not Ready","20%","01/06/2021 04:37","-"
"1526473","233 Bay State Rd - Rear Left of Building","Smart","Single Stream","Fullness","100%","01/06/2021 04:40","-"
"1526392","617 Comm Ave","Smart","Single Stream","Not Ready","60%","01/06/2021 04:42","-"
"1526402","635 Comm Ave","Smart","Single Stream","Not Ready","40%","01/06/2021 04:43","-"
"1526380","675 Comm Ave","Smart","Single Stream","Fullness","80%","01/06/2021 04:44","-"
"1526385","685 Comm Ave","Smart","Single Stream","Not Ready","40%","01/06/2021 04:44","-"
"1526465","771 Comm Ave","Smart","Single Stream","Fullness","80%","01/06/2021 04:46","-"
"1526381","725 Comm Ave w/ recy 9521068","Smart","Single Stream","Not Ready","40%","01/06/2021 04:46","-"
"1526462","745 Comm Ave","Smart","Single Stream","Fullness","80%","01/06/2021 04:47","-"
"1526387","775 Comm Ave @ Front Entrance","Smart","Single Stream","Not Ready","60%","01/06/2021 04:48","-"
"1526395","755 Comm Ave","Smart","Single Stream","Fullness","80%","01/06/2021 04:49","-"
"1526455","925 Comm Ave Aggnis Arena","Smart","Single Stream","Fullness","100%","01/06/2021 04:55","-"
"1526472","1 University Rd @ Comm Ave","Smart","Single Stream","Not Ready","60%","01/06/2021 04:55","-"
"1526503","915 Comm Ave Behind Bldg Agganis Arena","Smart Max","Waste","Not Ready","0%","01/06/2021 04:58","-"
"1526503","915 Comm Ave Behind Bldg Agganis Arena","Smart","Single Stream","Not Ready","60%","01/06/2021 04:58","-"
"1526505","Agganis Arena Garage Entrance - 925 Comm Ave (Outside)","Smart","Single Stream","Fullness","80%","01/06/2021 04:59","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart","Single Stream","Fullness","100%","01/06/2021 05:02","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart","Single Stream","Fullness","100%","01/06/2021 05:02","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Fullness","60%","01/06/2021 05:02","-"
"1526469","33 Agganis Way","Smart","Single Stream","Not Ready","20%","01/06/2021 05:07","-"
"1526504","10 Buick St Access From 915 Comm Ave w/ recy 9521123","Smart","Single Stream","Not Ready","0%","01/06/2021 05:09","-"
"1526475","277 Babcock St @ City Convenience","Smart","Single Stream","Not Ready","60%","01/06/2021 05:14","-"
"1526501","275 Babcock St - Sleeper Hall","Smart","Single Stream","Fullness","100%","01/06/2021 05:15","-"
"1526481","285 Babcock St Case Center","Smart","Single Stream","Not Ready","40%","01/06/2021 05:16","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart","Single Stream","Fullness","80%","01/06/2021 05:17","-"
"1526468","Babcock St & Ashford St - Pedestrian Garage Entrance","Smart","Single Stream","Fullness","80%","01/06/2021 05:17","-"
"1526482","120 Ashford St","Smart","Single Stream","Not Ready","60%","01/06/2021 05:19","-"
"1526499","278 Babcock St @ Gardner - New Balance Field Main Entrance","Smart","Single Stream","Fullness","100%","01/06/2021 05:23","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","60%","01/06/2021 07:20","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/06/2021 07:20","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/06/2021 07:34","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/06/2021 07:34","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/06/2021 07:39","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart Max","Waste","Not Ready","0%","01/06/2021 07:39","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart Max","Waste","Fullness","80%","01/06/2021 09:54","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Fullness","60%","01/06/2021 10:01","-"
"1526511","595 Comm Ave Garage P1 East","Smart Max","Waste","Fullness","60%","01/06/2021 13:57","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart Max","Waste","Not Ready","0%","01/07/2021 09:59","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/07/2021 09:59","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/08/2021 07:30","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","40%","01/08/2021 07:30","-"
