Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2025 - December 31  2025
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Stream Type","Capacity","Avg. Days to Full"
"1513538","820 Comm Ave  Booth Theatre - Front Entrance","Waste","Smart Max","-"
"1513538","820 Comm Ave  Booth Theatre - Front Entrance","Single Stream","Smart","41.3 days"
"1513539","275 Babcock – main entrance","Waste","Smart Max","4.5 days"
"1513539","275 Babcock – main entrance","Single Stream","Smart","5.5 days"
"1513540","820 Comm Ave. Right side of Bldg","Waste","Smart Max","78.5 days"
"1513540","820 Comm Ave. Right side of Bldg","Single Stream","Smart","31.5 days"
"1513541","820 Comm Ave College of Art Entrance (recy 9521078)","Waste","Smart Max","114.4 days"
"1513541","820 Comm Ave College of Art Entrance (recy 9521078)","Single Stream","Smart","15.9 days"
"1517448","610 Beacon St","Waste","Smart Max","6.0 days"
"1517448","610 Beacon St","Single Stream","Smart","6.6 days"
"1526378","700 Albany St City Convenience","Waste","Smart Max","13.7 days"
"1526378","700 Albany St City Convenience","Single Stream","Smart","2.7 days"
"1526379","700 Comm Ave Starbucks","Waste","Smart Max","2.4 days"
"1526379","700 Comm Ave Starbucks","Single Stream","Smart","3.3 days"
"1526380","675 Comm Ave","Waste","Smart Max","7.0 days"
"1526380","675 Comm Ave","Single Stream","Smart","3.3 days"
"1526381","725 Comm Ave w/ recy 9521068","Waste","Smart Max","5.0 days"
"1526381","725 Comm Ave w/ recy 9521068","Single Stream","Smart","3.8 days"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Waste","Smart Max","8.9 days"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Single Stream","Smart","8.3 days"
"1526383","700 Comm Ave Subway","Waste","Smart Max","3.0 days"
"1526383","700 Comm Ave Subway","Single Stream","Smart","3.5 days"
"1526384","815 Albany St.","Waste","Smart Max","11.5 days"
"1526384","815 Albany St.","Single Stream","Smart","55.2 days"
"1526385","685 Comm Ave","Waste","Smart Max","7.5 days"
"1526385","685 Comm Ave","Single Stream","Smart","5.1 days"
"1526386","Agganis Arena Garage P2 East (Weak/No Signal-Frequent SNC)","Waste","Smart Max","9.4 days"
"1526387","775 Comm Ave @ Front Entrance","Waste","Smart Max","9.3 days"
"1526387","775 Comm Ave @ Front Entrance","Single Stream","Smart","4.5 days"
"1526388","590 Comm Ave. Courtyard","Waste","Smart Max","4.9 days"
"1526388","590 Comm Ave. Courtyard","Single Stream","Smart","11.0 days"
"1526389","700 Comm Ave Citizens Bank","Waste","Smart Max","4.5 days"
"1526389","700 Comm Ave Citizens Bank","Single Stream","Smart","3.6 days"
"1526390","72 E Concord St Rear Entrance in Courtyard","Waste","Smart Max","4.9 days"
"1526390","72 E Concord St Rear Entrance in Courtyard","Single Stream","Smart","3.4 days"
"1526391","595 Comm ave Right Entrance","Waste","Smart Max","7.1 days"
"1526391","595 Comm ave Right Entrance","Single Stream","Smart","10.3 days"
"1526392","617 Comm Ave","Waste","Smart Max","7.3 days"
"1526392","617 Comm Ave","Single Stream","Smart","29.3 days"
"1526393","565 Comm Ave","Waste","Smart Max","10.9 days"
"1526393","565 Comm Ave","Single Stream","Smart","14.2 days"
"1526394","140  Bay State Rd","Waste","Smart Max","2.8 days"
"1526394","140  Bay State Rd","Single Stream","Smart","2.8 days"
"1526395","755 Comm Ave","Waste","Smart Max","8.7 days"
"1526395","755 Comm Ave","Single Stream","Smart","6.4 days"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Waste","Smart Max","9.0 days"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Single Stream","Smart","10.0 days"
"1526397","575 Comm Ave","Waste","Smart Max","8.3 days"
