Serial,Description,Stream Type,avg_days_to_fill,avg_fill_percent,estimated_days_to_80
1513538,820 Comm Ave  Booth Theatre - Front Entrance,Single Stream,22.695767195767196,41.395348837209305,43.86148267047143
1513538,820 Comm Ave  Booth Theatre - Front Entrance,Waste,12.900887345679013,33.333333333333336,30.96212962962963
1513539,275 Babcock – main entrance,Single Stream,13.548504273504275,54.46153846153846,19.901757689893287
1513539,275 Babcock – main entrance,Waste,11.276779513888888,36.326530612244895,24.834256008114856
1513540,820 Comm Ave. Right side of Bldg,Single Stream,25.994505718954247,48.8235294117647,42.59340696117805
1513540,820 Comm Ave. Right side of Bldg,Waste,15.445424836601305,40.0,30.89084967320261
1513541,820 Comm Ave College of Art Entrance (recy 9521078),Single Stream,22.274356368563687,38.53658536585366,46.24043600562588
1513541,820 Comm Ave College of Art Entrance (recy 9521078),Waste,17.8171875,27.586206896551722,51.669843750000005
1517448,610 Beacon St,Single Stream,2.4372048611111112,68.58333333333333,2.8429121101660595
1517448,610 Beacon St,Waste,2.436793884220355,36.64804469273743,5.319342747261507
1522343,Ashford and Babcock Dock,Single Stream,189.73472222222222,20.0,758.9388888888889
1522343,Ashford and Babcock Dock,Waste,153.9333333333333,30.0,410.4888888888888
1526378,700 Albany St City Convenience,Single Stream,2.25695987654321,50.303030303030305,3.5893819723337796
1526378,700 Albany St City Convenience,Waste,0.8878725405092592,10.441558441558442,6.802605534250045
1526379,700 Comm Ave Starbucks,Single Stream,1.916808712121212,59.675324675324674,2.5696499818643455
1526379,700 Comm Ave Starbucks,Waste,1.8587847972162228,44.827586206896555,3.317215945801259
1526380,675 Comm Ave,Single Stream,2.895993814192344,54.45378151260504,4.254608196159123
1526380,675 Comm Ave,Waste,2.790165852665853,46.13138686131387,4.838642048293948
1526381,725 Comm Ave w/ recy 9521068,Single Stream,2.7389760245035912,61.666666666666664,3.553266193950605
1526381,725 Comm Ave w/ recy 9521068,Waste,2.370879171250458,55.31353135313531,3.4290042429063905
1526382,100 Bay State Rd @ Deerfield St Entrance,Single Stream,3.0574906675450153,49.24901185770751,4.966581951132513
1526382,100 Bay State Rd @ Deerfield St Entrance,Waste,2.770879058070416,27.295081967213115,8.121255137167346
1526383,700 Comm Ave Subway,Single Stream,2.105769917827796,67.71704180064309,2.4877281840244807
1526383,700 Comm Ave Subway,Waste,1.9158032128514058,37.88461538461539,4.045553992620228
1526384,815 Albany St.,Single Stream,9.090639467592593,51.25,14.190266485998196
1526384,815 Albany St.,Waste,10.313280355097366,12.244897959183673,67.38009831996945
1526385,685 Comm Ave,Single Stream,3.3173757618377873,57.29957805907173,4.631623302241859
1526385,685 Comm Ave,Waste,2.89158024691358,44.60176991150443,5.1864852047815
1526386,Agganis Arena Garage P2 East (Weak/No Signal-Frequent SNC),Waste,16.92926051051051,38.4,35.269292730230234
1526387,775 Comm Ave @ Front Entrance,Single Stream,3.4723451074531324,52.21311475409836,5.320265031199776
1526387,775 Comm Ave @ Front Entrance,Waste,2.8661507936507937,40.666666666666664,5.63832943013271
1526388,590 Comm Ave. Courtyard,Single Stream,4.191230738037307,54.306569343065696,6.1741786140979675
1526388,590 Comm Ave. Courtyard,Waste,3.5891450364298723,28.489795918367346,10.078401534960673
1526389,700 Comm Ave Citizens Bank,Single Stream,2.331903190319032,56.633663366336634,3.2940170940170943
1526389,700 Comm Ave Citizens Bank,Waste,2.036993911719939,31.092896174863387,5.241052876551829
1526390,72 E Concord St Rear Entrance in Courtyard,Single Stream,2.272391010802469,59.09722222222222,3.0761391826609215
1526390,72 E Concord St Rear Entrance in Courtyard,Waste,1.3028985998193314,16.2012987012987,6.4335514027150955
1526391,595 Comm ave Right Entrance,Single Stream,3.0364954780361755,45.395348837209305,5.351201047358834
1526391,595 Comm ave Right Entrance,Waste,3.1416149237472766,26.09375,9.631777490770093
1526392,617 Comm Ave,Single Stream,2.818904320987654,48.22222222222222,4.676523297491039
1526392,617 Comm Ave,Waste,4.55791719677693,37.18631178707224,9.805580554211309
1526393,565 Comm Ave,Single Stream,4.298367003367003,43.39393939393939,7.924363749224086
1526393,565 Comm Ave,Waste,3.03547335600907,24.715447154471544,9.825347968134622
1526394,140  Bay State Rd,Single Stream,1.5916645622895622,81.57575757575758,1.5609191844147265
1526394,140  Bay State Rd,Waste,1.582520009416196,41.31979695431472,3.0639453744962224
1526395,755 Comm Ave,Single Stream,3.2618572984749457,53.59375,4.869011477606916
1526395,755 Comm Ave,Waste,3.425777304292929,44.88636363636363,6.105689170182842
1526396,Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance,Single Stream,4.387208251150558,49.23076923076923,7.129213408119656
1526396,Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance,Waste,4.383699727334697,48.90243902439025,7.171339204816861
1526397,575 Comm Ave,Single Stream,3.226539535567313,42.53968253968254,6.067820619126588
1526397,575 Comm Ave,Waste,3.3724250000000002,27.808764940239044,9.701761318051577
1526398,East Concord St & Boston Medical Center Pl - On Pathway,Single Stream,2.1028125,65.26666666666667,2.5775025536261493
1526398,East Concord St & Boston Medical Center Pl - On Pathway,Waste,1.2221975308641975,28.757396449704142,3.4000227607580142
1526399,Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St,Single Stream,2.6414986047691524,44.018264840182646,4.800731904103273
1526399,Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St,Waste,1.9894038170823884,12.805429864253394,12.428501585164884
1526401,549 Comm Ave @ Deerfield,Single Stream,3.395099875156055,51.79775280898876,5.243624969872259
1526401,549 Comm Ave @ Deerfield,Waste,3.536215277777778,28.29875518672199,9.996807999348324
1526402,635 Comm Ave,Single Stream,2.450159642401022,53.333333333333336,3.6752394636015326
1526402,635 Comm Ave,Waste,4.396631205673758,38.303886925795055,9.182631964617515
1526454,728 Comm Ave,Single Stream,2.0379530965391623,65.8360655737705,2.476397189021691
1526454,728 Comm Ave,Waste,1.8839731585518102,42.73542600896861,3.526766122619548
1526455,925 Comm Ave Aggnis Arena,Single Stream,2.5239061754887935,70.64377682403433,2.8581780747941137
1526455,925 Comm Ave Aggnis Arena,Waste,2.5708210059171597,49.6165191740413,4.14510497505787
1526457,154 Riverway,Single Stream,3.5393055555555555,45.0,6.292098765432099
1526457,154 Riverway,Waste,1.350462962962963,21.11111111111111,5.117543859649123
1526457,700 Comm Ave Garage - 3A,Single Stream,6.664814814814815,81.42857142857143,6.547888239116309
1526457,700 Comm Ave Garage - 3A,Waste,14.42810763888889,40.0,28.85621527777778
1526458,44 Cummington Mall,Single Stream,4.274091544374563,53.20754716981132,6.42629366955608
1526458,44 Cummington Mall,Waste,4.618970392548237,34.285714285714285,10.777597582612552
1526459,610 Comm Ave,Single Stream,2.344816375364128,59.9250936329588,3.1303298611111114
